dataset,it,size,implementation,ari,ri,jaccard,peakmem
subsample_it_1_size_250000,1,247736,jl32,0.6620767210943523,0.9296152656094213,0.9930244145490782,22.045608520507812
subsample_it_1_size_250000,1,247736,py,0.7216338811082098,0.9466914444499027,1.0,27.165184020996094
subsample_it_1_size_3000,1,2978,R,1.0,1.0,1.0,1.6600570678710938
subsample_it_1_size_3000,1,2978,jl,0.8086900792976477,0.9580294683687541,0.9841269841269841,1.1817092895507812
subsample_it_1_size_3000,1,2978,jl32,0.8661195297730626,0.9693479424637466,0.9841269841269841,1.4702644348144531
subsample_it_1_size_3000,1,2978,py,0.5328909657034555,0.8759152607871451,0.999000499750125,1.6000404357910156
subsample_it_1_size_50000,1,49540,R,1.0,1.0,1.0,17.794559478759766
subsample_it_1_size_50000,1,49540,jl,0.6686219693024775,0.9431980103221056,0.9860973187686196,6.515544891357422
subsample_it_1_size_50000,1,49540,jl32,0.724487483721004,0.9481046186493487,0.9860973187686196,6.282955169677734
subsample_it_1_size_50000,1,49540,py,0.5849928577725092,0.9233927770849819,1.0,5.8961334228515625
subsample_it_1_size_500000,1,495423,R,1.0,1.0,1.0,
subsample_it_1_size_500000,1,495423,jl,0.7858139573196814,0.9623647679086532,0.9900497512437811,43.42523193359375
subsample_it_1_size_500000,1,495423,jl32,0.6170178686960678,0.9405659641126122,0.9900497512437811,43.4149284362793
subsample_it_1_size_500000,1,495423,py,0.6596100808827626,0.9342746941278446,0.999000499750125,46.17074203491211
subsample_it_1_size_6000,1,5941,R,1.0,1.0,1.0,2.469745635986328
subsample_it_1_size_6000,1,5941,jl,0.832117581173333,0.968085217319353,0.9890601690701144,1.6511802673339844
subsample_it_1_size_6000,1,5941,jl32,0.906837524190942,0.9833257106780082,0.9890601690701144,1.4517364501953125
subsample_it_1_size_6000,1,5941,py,0.7073699168517258,0.9377072072914524,1.0,1.9618453979492188
subsample_it_1_size_75000,1,74308,R,1.0,1.0,1.0,
subsample_it_1_size_75000,1,74308,jl,0.7612352592313484,0.9628763067110161,0.9920318725099602,7.413326263427734
subsample_it_1_size_75000,1,74308,jl32,0.7456164706943063,0.9610367653427443,0.9920318725099602,7.403480529785156
subsample_it_1_size_75000,1,74308,py,0.5723024878131722,0.9194492942243219,1.0,8.552055358886719
subsample_it_1_size_750000,1,743130,R,1.0,1.0,1.0,
subsample_it_1_size_750000,1,743130,jl,0.6803059201695928,0.9514928990260905,0.9890601690701144,64.7965202331543
subsample_it_1_size_750000,1,743130,jl32,0.7007534415772552,0.9487742806903049,1.0,69.00431442260742
subsample_it_1_size_750000,1,743130,py,0.7007534415772552,0.9487742806903049,1.0,69.00431442260742
subsample_it_2_size_100000,2,99062,R,1.0,1.0,1.0,
subsample_it_2_size_100000,2,99062,jl,0.8366546885162254,0.9734020817716145,0.9870839542970691,
subsample_it_2_size_100000,2,99062,jl32,0.851120431902069,0.9760971437079554,0.9870839542970691,
subsample_it_2_size_100000,2,99062,py,0.6648717157890592,0.9392159566555512,1.0,
subsample_it_2_size_12000,2,11891,R,1.0,1.0,1.0,
subsample_it_2_size_12000,2,11891,jl,0.9242826456076231,0.9832807377978228,0.9910403185664509,
subsample_it_2_size_12000,2,11891,jl32,0.8851109162628109,0.9749350120901242,0.9910403185664509,
subsample_it_2_size_12000,2,11891,py,0.5023221746484346,0.8908620134429648,1.0,
subsample_it_2_size_125000,2,123880,R,1.0,1.0,1.0,
subsample_it_2_size_125000,2,123880,jl,0.833823536282686,0.9738656118246022,0.9910403185664509,
subsample_it_2_size_125000,2,123880,jl32,0.7734835076864066,0.9642382868251533,0.9910403185664509,
subsample_it_2_size_125000,2,123880,py,0.6266441576590641,0.9330322337177672,1.0,
subsample_it_2_size_25000,2,24773,R,1.0,1.0,1.0,
subsample_it_2_size_25000,2,24773,jl,0.7167152821410241,0.9483884118302829,0.9900497512437811,
subsample_it_2_size_25000,2,24773,jl32,0.7161812071253565,0.9474585574820109,0.9900497512437811,
subsample_it_2_size_25000,2,24773,py,0.7326128586312135,0.9402452583685604,1.0,
subsample_it_2_size_250000,2,247717,R,1.0,1.0,1.0,
subsample_it_2_size_250000,2,247717,jl,0.8380671504973635,0.9732660130781574,0.9900497512437811,
