dataset,it,size,implementation,step,time,mem,clusters
l5_all,1,160601,py,FindClusters,47.474581257,1.0020163584e10,44
l5_all,1,160601,py,RunUMAP,571.291466313,1.0044747776e10,44
l5_all,1,160601,py,FindAllMarkers,8215.653002177,1.070565376e10,44
pbmc_68k,1,68551,R,CreateSeuratObject,8.356652504,2.17499648e9,28
pbmc_68k,1,68551,R,NormalizeData,2.506601282,3.21581056e9,28
pbmc_68k,1,68551,R,FindVariableFeatures,6.653471112,3.22729984e9,28
pbmc_68k,1,68551,R,ScaleData,7.330431262,4.974948352e9,28
pbmc_68k,1,68551,R,RunPCA,83.858795591,6.719000576e9,28
pbmc_68k,1,68551,R,FindNeighbors,26.057302583,6.720233472e9,28
pbmc_68k,1,68551,R,FindClusters,23.210984969,7.6351488e9,28
pbmc_68k,1,68551,R,RunUMAP,95.715382282,7.6351488e9,28
pbmc_68k,1,68551,R,FindAllMarkers,2353.686982353,1.1831693312e10,28
pbmc_68k,1,68551,jl,CreateSeuratObject,1.744310758,1.392336896e9,29
pbmc_68k,1,68551,jl,NormalizeData,1.304570446,1.96431872e9,29
pbmc_68k,1,68551,jl,FindVariableFeatures,2.844193322,2.626146304e9,29
pbmc_68k,1,68551,jl,ScaleData,0.577701304,2.561236992e9,29
pbmc_68k,1,68551,jl,RunPCA,43.329237087,2.5614336e9,29
pbmc_68k,1,68551,jl,FindNeighbors,5.081581551,2.900074496e9,29
pbmc_68k,1,68551,jl,FindClusters,27.124017704,4.023287808e9,29
pbmc_68k,1,68551,jl,RunUMAP,111.649407329,4.105568256e9,29
pbmc_68k,1,68551,jl,FindAllMarkers,31.887360542,4.663185408e9,29
pbmc_68k,1,68551,jl32,CreateSeuratObject,1.508873832,,29
pbmc_68k,1,68551,jl32,NormalizeData,0.892384095,,29
pbmc_68k,1,68551,jl32,FindVariableFeatures,0.757189996,,29
pbmc_68k,1,68551,jl32,ScaleData,0.08805182,,29
pbmc_68k,1,68551,jl32,RunPCA,11.232547502,,29
pbmc_68k,1,68551,jl32,FindNeighbors,4.109994788,,29
pbmc_68k,1,68551,jl32,FindClusters,21.262707862,,29
pbmc_68k,1,68551,jl32,RunUMAP,121.801156973,,29
pbmc_68k,1,68551,jl32,FindAllMarkers,24.525058005,,29
pbmc_68k,1,68551,py,CreateSeuratObject,1.472474272,1.380020224e9,19
pbmc_68k,1,68551,py,NormalizeData,0.942754962,1.560641536e9,19
pbmc_68k,1,68551,py,FindVariableFeatures,3.849177519,1.540456448e9,19
pbmc_68k,1,68551,py,ScaleData,1.798617717,1.5625216e9,19
pbmc_68k,1,68551,py,RunPCA,22.940859077,2.112606208e9,19
pbmc_68k,1,68551,py,FindNeighbors,23.057841275,2.80539136e9,19
pbmc_68k,1,68551,py,FindClusters,12.24108523,3.536633856e9,19
pbmc_68k,1,68551,py,RunUMAP,219.673650219,3.539034112e9,19
pbmc_68k,1,68551,py,FindAllMarkers,1280.746000693,4.01154048e9,19
