dataset,size,implementation,dims,k,resolution,tables,time,purity,classpurity,clusters,ari,ri,avgsilh,seed
3k,2700,scanpy,10,20,1.0,20,0.818343757,,,1,,,0.23791952558901602,1
3k,2700,scanpy,10,20,1.0,20,0.839255847,,,1,,,0.1840086636439864,2
3k,2700,scanpy,10,20,1.0,20,0.976578525,,,1,,,0.20272696169872984,3
3k,2700,scanpy,10,20,1.0,20,0.845315169,,,1,,,0.1775572707005898,4
3k,2700,scanpy,10,20,1.1,20,0.912446312,,,11,,,0.16515066391000144,0
3k,2700,scanpy,10,20,1.1,20,0.807295465,,,1,,,0.2064194625331262,1
3k,2700,scanpy,10,20,1.1,20,0.839847989,,,1,,,0.18409725071313401,2
3k,2700,scanpy,10,20,1.1,20,1.001047239,,,1,,,0.20496194609761187,3
3k,2700,scanpy,10,20,1.1,20,0.812501029,,,1,,,0.1777975209715483,4
3k,2700,scanpy,10,20,1.2,20,0.935562655,,,12,,,0.16181340527652216,0
3k,2700,scanpy,10,20,1.2,20,0.85391111,,,1,,,0.16659054933136694,1
3k,2700,scanpy,10,20,1.2,20,0.830281329,,,1,,,0.1828818116221548,2
3k,2700,scanpy,10,20,1.2,20,0.843179507,,,1,,,0.16750527290102,3
3k,2700,scanpy,10,20,1.2,20,0.903114969,,,1,,,0.18027852914085968,4
3k,2700,scanpy,10,30,0.05,20,1.195181127,,,3,,,0.32833079868497494,0
3k,2700,scanpy,10,30,0.08,20,1.18770549,,,3,,,0.32833079868497494,0
3k,2700,scanpy,10,30,0.1,20,1.136050161,,,3,,,0.32833079868497494,0
3k,2700,scanpy,10,30,0.1,20,1.033688511,,,1,,,0.3468890013511646,1
3k,2700,scanpy,10,30,0.1,20,0.985411542,,,1,,,0.3289129742990655,2
3k,2700,scanpy,10,30,0.1,20,0.967251394,,,1,,,0.3457420938380728,3
3k,2700,scanpy,10,30,0.1,20,0.960022603,,,1,,,0.35902726138468266,4
3k,2700,scanpy,10,30,0.2,20,1.23936045,,,4,,,0.33778100653526544,0
3k,2700,scanpy,10,30,0.2,20,0.977325137,,,1,,,0.34620512789337915,1
3k,2700,scanpy,10,30,0.2,20,0.880309297,,,1,,,0.3413323123242612,2
3k,2700,scanpy,10,30,0.2,20,0.936868645,,,1,,,0.3463024135836422,3
3k,2700,scanpy,10,30,0.2,20,0.972534018,,,1,,,0.35902726138468266,4
3k,2700,scanpy,10,30,0.3,20,0.993270466,,,4,,,0.3376165991835467,0
3k,2700,scanpy,10,30,0.3,20,1.009997522,,,1,,,0.34675651927835094,1
3k,2700,scanpy,10,30,0.3,20,1.002353404,,,1,,,0.3413323123242612,2
3k,2700,scanpy,10,30,0.3,20,0.939254782,,,1,,,0.3463024135836422,3
3k,2700,scanpy,10,30,0.3,20,0.916701818,,,1,,,0.35942888487914604,4
3k,2700,scanpy,10,30,0.4,20,1.009765623,,,1,,,0.34675651927835094,1
3k,2700,scanpy,10,30,0.4,20,1.109118587,,,1,,,0.3380178712684604,2
3k,2700,scanpy,10,30,0.4,20,0.958952212,,,1,,,0.3767848402313477,3
3k,2700,scanpy,10,30,0.4,20,0.952321683,,,1,,,0.35473670703351173,4
3k,2700,scanpy,10,30,0.5,20,1.017785359,,,7,,,0.26577770922989985,0
3k,2700,scanpy,10,30,0.5,20,0.995801048,,,1,,,0.20206513244410956,1
3k,2700,scanpy,10,30,0.5,20,0.93316091,,,1,,,0.2803548241611095,2
3k,2700,scanpy,10,30,0.5,20,0.992023061,,,1,,,0.25027490200843744,3
3k,2700,scanpy,10,30,0.5,20,0.918213451,,,1,,,0.22655842418647967,4
3k,2700,scanpy,10,30,0.6,20,0.996822541,,,1,,,0.20394686524943256,1
3k,2700,scanpy,10,30,0.6,20,0.959399019,,,1,,,0.18285513633192427,2
3k,2700,scanpy,10,30,0.6,20,0.953991585,,,1,,,0.2331539294751081,3
3k,2700,scanpy,10,30,0.6,20,0.930792252,,,1,,,0.2569289329448881,4
3k,2700,scanpy,10,30,0.7,20,0.951968655,,,1,,,0.19840712574607744,1
3k,2700,scanpy,10,30,0.7,20,0.935538456,,,1,,,0.18613785158150375,2
3k,2700,scanpy,10,30,0.7,20,0.912770135,,,1,,,0.2273761052530763,3
3k,2700,scanpy,10,30,0.7,20,0.926885778,,,1,,,0.24995464554271807,4
3k,2700,scanpy,10,30,0.8,20,0.920572272,,,8,,,0.2637427487288294,0
3k,2700,scanpy,10,30,0.8,20,1.075492302,,,1,,,0.1554756058815902,1
3k,2700,scanpy,10,30,0.8,20,0.981249541,,,1,,,0.21581228049774318,2
3k,2700,scanpy,10,30,0.8,20,0.970930216,,,1,,,0.23549744230508202,3
3k,2700,scanpy,10,30,0.8,20,0.90728464,,,1,,,0.19230609626386244,4
3k,2700,scanpy,10,30,0.9,20,1.0196379,,,9,,,0.21440628992093186,0
3k,2700,scanpy,10,30,0.9,20,0.928172244,,,1,,,0.1807904435001207,1
3k,2700,scanpy,10,30,0.9,20,0.934677253,,,1,,,0.17889653108870754,2
3k,2700,scanpy,10,30,0.9,20,0.945835792,,,1,,,0.2324973521098521,3
